id	name	type	nation	img_small	img_medium	description
PASC510	Alaska	Cruiser	usa	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PASC510_1c368c094c16e8fc1fed07afbc237cb7fde0cf956ce171dc419eabfbaedf4364.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PASC510_286f2b4241f4d510e45053ddd9d7d005313b5d7999e09ec9abe56a36a110fbc7.png	Ejemplar de un tipo de barco especial, que mezcla aspectos de un crucero y un acorazado. Oficialmente clasificado como «crucero de gran tamaño», estaba equipado con cañones de 305 mm, tenía una alta velocidad y una potente defensa AA. Por otro lado, su protección era bastante ligera para su tamaño.
PJSB510	Shikishima	Battleship	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSB510_b538072996470b044aef7763b5e579f613b8ad8a1bf699f209de8f4a437d475b.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSB510_92c1541caa0251241df1625b51a836f39a562361c12587e4823761b2414391bc.png	Proyecto de acorazado desarrollado poco después de que Japón entrase en la II Guerra Mundial (Diseño A-150). El diseño del barco exigía una batería principal de seis cañones de 510 mm en tres torretas gemelas. Por lo demás, las características del barco eran similares a las de los acorazados de clase Yamato.
PZSB509	Bajie	Battleship	pan_asia	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PZSB509_8b3e5000d6bd41e940806ceae5c72b7e16ea54f6a439dabf8041bbb424db98ae.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PZSB509_80e65cb919d4cdd7f2ea85ad58a3f8e33797a2e79ad2d1f7a005689c6bd137af.png	Bajie es mitad hombre, mitad cerdo, y uno de los principales personajes mitológicos de la cultura china. Es un mago que alcanzó la inmortalidad, pero después fue expulsado de los cielos a la tierra, como castigo por sus pasiones humanas.
PASC599	Alaska B	Cruiser	usa	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PASC599_de1d16288375f0aa408c159c51e7daf51d49db5da76bdb5e8c9ccbe4df61c142.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PASC599_3936b81bb67e0b0f34d41b44c0a2a9057cb71675b59a8c62fd0e547b99d8caab.png	Ejemplar de un tipo de barco especial, que mezcla aspectos de un crucero y un acorazado. Oficialmente clasificado como «crucero de gran tamaño», estaba equipado con cañones de 305 mm, tenía una alta velocidad y una potente defensa AA. Por otro lado, su protección era bastante ligera para su tamaño.
PRSC910	[Moskva]	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC910_b0e51720e691e7e5e52ae2d5924e23224cbc0533d9f1080ac3c29f183a92fec3.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC910_87a2b945ac657109c17c801083e54c281d181ea9dc3834cf525660bbd7a0436d.png	Este barco es una copia del Moskva y solo es apto para Batallas de clanes
PRSC525	Voroshilov	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC525_f00aa6745c46192ac362918178a8feb685d76863f284255c0148911d741112a0.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC525_998a95631c442a52459032678a15835c8ac6137f49d831afd606d4537da543ac.png	Uno de los primeros grandes acorazados diseñados y fabricados en la URSS (Proyecto 26). A pesar de su pequeño desplazamiento, el barco estaba equipado con cañones principales de largo alcance muy potentes y poseía una gran velocidad. En contraste con la mayoría de sus contemporáneos, tenía un blindaje débil.
PRSC610	Smolensk	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC610_271b349db1bd8566a987804152ed2440f65754bc7170a1ba4cb72ce56bf8237b.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC610_e0fe73bb2545c53cc194f01d27612a05f7c8911d799a9e35e8b4d7dabaaf895f.png	Un pequeño crucero ligero (MLK 16x130) desarrollado tras la Segunda Guerra Mundial, equipado con 16 cañones de doble propósito en cuatro monturas de torreta y diseñado para hacer frente a barcos ligeros enemigos.
PWSD510	Friesland	Destroyer	europe	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PWSD510_590c7a4fc8b1c5ff9c1c5bea106c9e76d10dc5c27d1abd837368808d40fc0520.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PWSD510_9ed5ccc2bb9f64c223dc103e1be2085e6755a7e24edbf37714fe7713beaf6ca3.png	El buque líder de una serie de «cazasubmarinos» usados por la marina holandesa. El barco portaba varias armas antisubmarinas, así como cañones navales Bofors de 120 mm de doble propósito, una de las armas más eficaces durante el periodo de posguerra.
PJSD998	Arashi	Destroyer	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSD998_c5f897b76cf14b57c9995b24eb39706a5e8147d00b100b96f2ba1c4564587971.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSD998_4e81cdfa85f23860a6fc51c929ad47abde4744cabe2323d367916df70cac04f7.png	Barco para pruebas. El Arashi perteneció a una serie de destructores de clase Kagerō, el proyecto más exitoso de la Armada japonesa para esta clase de barcos. El barco gozaba de un buen equilibrio en sus características principales y llevaba seis torpedos veloces de gran alcance impulsados por oxígeno.
PJSC934	[Zaō]	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC934_4ff33cd01dbf1be2998e56d24f0ebd229f96b0f45183925996660da926b0bb2b.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC934_2c2bb6e0774ca0edd0eca62b7184eda48055b39327536d56d0ea63b4cd5055d9.png	Este barco es una copia del Zaō y solo es apto para Batallas de clanes
